No.,ブロックタイプ,タグ名,必要項目,記述,データタイプ,I/Oアドレス,生値,,,スケール変換値,,,,,
241,アナログ,Z3U1LNG,〇,3Z空気比連続LNG,FLOAT,FCS1:D:1600,0.7,～,2,0.7,～,2,,,
242,アナログ,Z3U2LNG,〇,3Z空気比ﾘｼﾞｪﾈLNG,FLOAT,FCS1:D:1602,0.7,～,2,0.7,～,2,,,
249,アナログ,MOP3002,〇,均熱上LNG初期開度,FLOAT,FCS1:D:1630,0,～,100,0,～,100,,,
250,アナログ,MOP3003G,〇,均熱上空気初期開度LNG,FLOAT,FCS1:D:1632,0,～,100,0,～,100,,,
255,アナログ,KOP3002,〇,均熱上LNG切替係数,FLOAT,FCS1:D:1642,0,～,100,0,～,100,,,
256,アナログ,KOP3003G,〇,均熱上空気切替係数LNG,FLOAT,FCS1:D:1644,0,～,100,0,～,100,,,
261,アナログ,TOP3002,〇,均熱上LNGﾀｰﾝﾀﾞｳﾝ,FLOAT,FCS1:D:1654,0,～,100,0,～,100,,,
262,アナログ,TOP3003G,〇,均熱上空気ﾀｰﾝﾀﾞｳﾝLNG,FLOAT,FCS1:D:1656,0,～,100,0,～,100,,,
271,アナログ,FPB3004,〇,均熱上PB率,FLOAT,FCS1:D:1678,0,～,100,0,～,100,,,
280,アナログ,Z4U1LNG,〇,4Z空気比連続LNG,FLOAT,FCS1:D:1800,0.7,～,2,0.7,～,2,,,
281,アナログ,Z4U2LNG,〇,4Z空気比ﾘｼﾞｪﾈLNG,FLOAT,FCS1:D:1802,0.7,～,2,0.7,～,2,,,
288,アナログ,MOP4002,〇,均熱下LNG初期開度,FLOAT,FCS1:D:1830,0,～,100,0,～,100,,,
289,アナログ,MOP4003G,〇,均熱下空気初期開度LNG,FLOAT,FCS1:D:1832,0,～,100,0,～,100,,,
294,アナログ,KOP4002,〇,均熱下LNG切替係数,FLOAT,FCS1:D:1842,0,～,100,0,～,100,,,
295,アナログ,KOP4003G,〇,均熱下空気切替係数LNG,FLOAT,FCS1:D:1844,0,～,100,0,～,100,,,
300,アナログ,TOP4002,〇,均熱下LNGﾀｰﾝﾀﾞｳﾝ,FLOAT,FCS1:D:1854,0,～,100,0,～,100,,,
301,アナログ,TOP4003G,〇,均熱下空気ﾀｰﾝﾀﾞｳﾝLNG,FLOAT,FCS1:D:1856,0,～,100,0,～,100,,,
310,アナログ,FPB4004,〇,均熱下PB率,FLOAT,FCS1:D:1878,0,～,100,0,～,100,,,
321,アナログ,AIH9054,〇,排ｶﾞｽNOX H設定,FLOAT,FCS1:D:2504,0,～,200,0,～,200,,,
322,アナログ,AIA9054,〇,排ｶﾞｽNOX  時間平均,FLOAT,FCS1:D:2506,0,～,10000,0,～,10000,,,
323,アナログ,D100,〇,燃焼空気B PM,FLOAT,FCS1:D:2508,0,～,10000,0,～,10000,,,
324,アナログ,D101,〇,燃焼空気B PM,FLOAT,FCS1:D:2510,0,～,10000,0,～,10000,,,
325,アナログ,D102,〇,燃焼空気B PM,FLOAT,FCS1:D:2512,0,～,10000,0,～,10000,,,
326,アナログ,D103,〇,燃焼空気B PM,FLOAT,FCS1:D:2514,0,～,10000,0,～,10000,,,
327,アナログ,D104,〇,燃焼空気B PM,FLOAT,FCS1:D:2516,0,～,10000,0,～,10000,,,
335,アナログ,SG90031,〇,燃焼空気Bｻｰｼﾞﾝｸﾞ限界,FLOAT,FCS1:D:2532,0,～,10000,0,～,10000,,,
356,アナログ,EXT_A_PV,〇,排ｶﾞｽﾌｧﾝ電流表示,WORD,FCS1:D:2571,0,～,10000,0,～,100,,,
640,アナログ,REIKYAKU1,〇,装入冷水ＢＯＸ冷却水温度,WORD,FCS1:D:3410,0,～,100,0,～,100,,,
641,アナログ,REIKYAKU2,〇,装入側リンテル冷却水温度,WORD,FCS1:D:3411,0,～,100,0,～,100,,,
642,アナログ,REIKYAKU3,〇,装入扉反ミル側冷却水温度,WORD,FCS1:D:3412,0,～,100,0,～,100,,,
643,アナログ,REIKYAKU4,〇,装入扉ミル側冷却水温度,WORD,FCS1:D:3413,0,～,100,0,～,100,,,
644,アナログ,REIKYAKU5,〇,固６ミルメイン冷却水温度,WORD,FCS1:D:3414,0,～,100,0,～,100,,,
645,アナログ,REIKYAKU6,〇,固５ミルメイン冷却水温度,WORD,FCS1:D:3415,0,～,100,0,～,100,,,
646,アナログ,REIKYAKU7,〇,固４ミルメイン冷却水温度,WORD,FCS1:D:3416,0,～,100,0,～,100,,,
647,アナログ,REIKYAKU8,〇,固３ミルメイン冷却水温度,WORD,FCS1:D:3417,0,～,100,0,～,100,,,
648,アナログ,REIKYAKU9,〇,固２ミルメイン冷却水温度,WORD,FCS1:D:3418,0,～,100,0,～,100,,,
649,アナログ,REIKYAKU10,〇,固１ミルメイン冷却水温度,WORD,FCS1:D:3419,0,～,100,0,～,100,,,
650,アナログ,REIKYAKU11,〇,可１反ミルメイン冷却水温度,WORD,FCS1:D:3420,0,～,100,0,～,100,,,
651,アナログ,REIKYAKU12,〇,可２反ミルメイン冷却水温度,WORD,FCS1:D:3421,0,～,100,0,～,100,,,
652,アナログ,REIKYAKU13,〇,可２ミルメイン冷却水温度,WORD,FCS1:D:3422,0,～,100,0,～,100,,,
653,アナログ,REIKYAKU14,〇,可１ミルメイン冷却水温度,WORD,FCS1:D:3423,0,～,100,0,～,100,,,
654,アナログ,REIKYAKU15,〇,固１装入サポート冷却水温度,WORD,FCS1:D:3424,0,～,100,0,～,100,,,
655,アナログ,REIKYAKU16,〇,固２装入サポート冷却水温度,WORD,FCS1:D:3425,0,～,100,0,～,100,,,
656,アナログ,REIKYAKU17,〇,固３装入サポート冷却水温度,WORD,FCS1:D:3426,0,～,100,0,～,100,,,
657,アナログ,REIKYAKU18,〇,固４装入サポート冷却水温度,WORD,FCS1:D:3427,0,～,100,0,～,100,,,
658,アナログ,REIKYAKU19,〇,固５装入サポート冷却水温度,WORD,FCS1:D:3428,0,～,100,0,～,100,,,
